Product_Display_Name,GUID,Service_Plan_Id,Service_Plans_Included_Friendly_Names
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,03acaee3-9492-4f40-aed4-bcb6b32981b6,Retired - Microsoft Social Engagement
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,69f07c66-bee4-4222-b051-195095efee5b,Dynamics 365 Project Operations
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,1315ade1-0410-450d-b8e3-8050e6da320f,Common Data Service
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,0b2c029c-dca0-454a-a336-887285d6ef07,Dynamics 365 Guides
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,4f4c7800-298a-4e22-8867-96b17850d4dd,Dynamics 365 Remote Assist
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,816971f4-37c5-424a-b12b-b56881f402e7,Power Apps for Guides
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,57ff2da0-773e-42df-b2af-ffb7a2317929,Microsoft Teams
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,e95bec33-7c88-4a70-8e19-b10bd9d0c014,Office for the Web
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,0a05d977-a21a-45b2-91ce-61c240dbafa2,Project for Project Operations
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,fafd7243-e5c1-4a3a-9e40-495efcb1d3c3,Project Online Desktop Client
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,fe71d6c3-a2ea-4499-9778-da042bf08063,Project Online Service
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,5dbe027f-2339-4123-9542-606e4d348a72,SharePoint (Plan 2)
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,0b03f40b-c404-40c3-8651-2aceb74365fa,Power Apps for Dynamics 365
